step,mean_success,std_success,n_runs_at_step
200,0.059210526315789436,0.0751489748503107,76
400,0.3644736842105264,0.2186040239754191,76
600,0.5980263157894739,0.15651214851115855,76
800,0.7657894736842106,0.12601865637430817,76
1000,0.8865789473684214,0.046777562472591426,76
