feature,importance_mean,ci_low,ci_high
cfg.optimal_speed,0.02909851751608055,0.00869040699834757,0.07319982268672276
cfg.optimal_speed_scale,0.02572084307135867,0.01093953612034117,0.05206938393918027
cfg.in_hole_reward,0.022134810311227528,0.010790292708545578,0.04313233412368891
cfg.w_distance,0.019215534275473414,0.008835453752334892,0.03357160577199388
cfg.dist_at_hole_scale,0.014785337221282826,0.00715642945202226,0.031008365214619575
cfg.distance_scale,0.013004839389407944,0.00759106634729503,0.021207912054684804
