reward_param,mean,std,count,mean_samples,robust_score
cfg.in_hole_reward,0.19841389947623672,0.13777145503328833,20,49.25,0.12952817195959254
cfg.dist_at_hole_scale,0.22272880279280546,0.215443394557188,20,49.25,0.11500710551421146
cfg.optimal_speed,0.15660033517254154,0.08636300757341038,20,49.25,0.11341883138583636
cfg.optimal_speed_scale,0.17483993401340062,0.13214976334535097,20,49.25,0.10876505234072513
cfg.w_distance,0.1678696187618828,0.13360148980943706,20,49.25,0.10106887385716427
cfg.distance_scale,0.14340580296968314,0.10078578301938441,20,49.25,0.09301291145999094
