reward_param,best_value_or_bin,mean_success,support,ci_low,ci_high
cfg.dist_at_hole_scale,"(6.52, 9.92]",0.6708943089430894,123,0.6188586833976687,0.7229299344885102
cfg.optimal_speed,"(0.616, 0.681]",0.6508130081300812,123,0.5990592700117312,0.7025667462484313
cfg.in_hole_reward,"(4.841, 5.75]",0.6367479674796748,123,0.5867028366835294,0.6867930982758201
cfg.distance_scale,"(1.792, 2.471]",0.6333333333333334,123,0.5820955867960315,0.6845710798706354
cfg.w_distance,"(0.201, 0.307]",0.6296774193548387,124,0.5800180183834557,0.6793368203262217
cfg.optimal_speed_scale,"(0.299, 0.492]",0.6133064516129032,124,0.5627344593767083,0.6638784438490981
