feature,importance_mean,importance_std
cfg.optimal_speed_scale,0.024787095950009656,0.0029171987911892744
cfg.optimal_speed,0.022401713854337164,0.002228434608960969
cfg.w_distance,0.0182934193136798,0.0017676682312958976
cfg.in_hole_reward,0.017957702671743347,0.0012911041897822235
cfg.distance_scale,0.011440902765445543,0.0007871490507980593
cfg.dist_at_hole_scale,0.011185282903885424,0.0007579957787861802
