impact_velocity,distance
1.0,2.71
1.0,2.76
1.0,2.79
1.1,2.83
1.1,2.90
1.1,2.85
1.2,3.08
1.2,3.05
1.2,3.04
1.25,3.76
1.25,3.50
1.25,3.76
