time,ball_x,ball_y,ball_z
1.170020,0.682146553,-0.000060664,0.021349998
1.180020,0.687827790,-0.000061322,0.021350000
1.190020,0.693474460,-0.000061979,0.021349992
1.200020,0.699086562,-0.000062636,0.021350002
1.210020,0.704664097,-0.000063294,0.021349999
1.220020,0.710207065,-0.000063951,0.021349988
1.230020,0.715715465,-0.000064608,0.021349999
1.240020,0.721189297,-0.000065265,0.021349986
1.250020,0.726628562,-0.000065923,0.021349981
1.260020,0.732033260,-0.000066580,0.021349941
1.270020,0.737403387,-0.000067237,0.021349929
1.280020,0.742738947,-0.000067894,0.021349899
1.290020,0.748039940,-0.000068552,0.021349957
1.300020,0.753306367,-0.000069209,0.021349983
1.310020,0.758538228,-0.000069866,0.021349984
1.320020,0.763735522,-0.000070523,0.021349978
1.330020,0.768898247,-0.000071181,0.021349998
1.340020,0.774026406,-0.000071838,0.021349999
1.350020,0.779119997,-0.000072495,0.021349996
1.360020,0.784179021,-0.000073152,0.021349983
1.370020,0.789203476,-0.000073810,0.021349999
1.380020,0.794193366,-0.000074467,0.021349978
1.390020,0.799148685,-0.000075124,0.021349997
1.400020,0.804069438,-0.000075781,0.021349967
1.410020,0.808955623,-0.000076439,0.021349975
1.420020,0.813807242,-0.000077096,0.021349997
1.430020,0.818624294,-0.000077753,0.021349991
1.440020,0.823406780,-0.000078411,0.021349966
1.450020,0.828154695,-0.000079068,0.021349994
1.460020,0.832868045,-0.000079725,0.021349986
1.470020,0.837546827,-0.000080382,0.021349978
1.480020,0.842191039,-0.000081040,0.021349987
1.490020,0.846800686,-0.000081697,0.021349945
1.500020,0.851375765,-0.000082354,0.021349992
1.510020,0.855916277,-0.000083011,0.021349999
1.520020,0.860422222,-0.000083669,0.021349993
1.530020,0.864893600,-0.000084326,0.021349993
1.540020,0.869330410,-0.000084983,0.021349986
1.550020,0.873732652,-0.000085640,0.021349990
1.560020,0.878100328,-0.000086298,0.021349998
1.570020,0.882433436,-0.000086955,0.021349992
1.580020,0.886731977,-0.000087612,0.021349981
1.590020,0.890995949,-0.000088269,0.021349991
1.600020,0.895225354,-0.000088927,0.021349992
1.610020,0.899420193,-0.000089584,0.021349987
1.620020,0.903580463,-0.000090241,0.021349999
1.630020,0.907706167,-0.000090898,0.021349998
1.640020,0.911797304,-0.000091556,0.021349961
1.650020,0.915853871,-0.000092213,0.021349962
1.660020,0.919875871,-0.000092870,0.021349989
1.670020,0.923863305,-0.000093528,0.021349981
1.680020,0.927816170,-0.000094185,0.021349977
1.690020,0.931734469,-0.000094842,0.021349985
1.700020,0.935618200,-0.000095499,0.021349994
1.710020,0.939467364,-0.000096157,0.021349972
1.720020,0.943281961,-0.000096814,0.021349962
1.730020,0.947061988,-0.000097471,0.021349993
1.740020,0.950807447,-0.000098128,0.021349982
1.750020,0.954518350,-0.000098785,0.021349743
1.760020,0.958194907,-0.000099426,0.021349680
1.770020,0.961837501,-0.000100054,0.021349470
1.780020,0.965446425,-0.000100669,0.021349103
1.790020,0.969021947,-0.000101274,0.021348623
1.800020,0.972564325,-0.000101867,0.021348074
1.810020,0.976073816,-0.000102450,0.021347486
1.820020,0.979550675,-0.000103022,0.021346878
1.830020,0.982995156,-0.000103583,0.021346261
1.840020,0.986407512,-0.000104135,0.021345642
1.850020,0.989787991,-0.000104676,0.021345023
1.860020,0.993136843,-0.000105207,0.021344407
1.870020,0.996454314,-0.000105729,0.021343795
1.880020,0.999740653,-0.000106241,0.021343191
1.890020,1.002996147,-0.000106744,0.021342620
1.900020,1.006221071,-0.000107238,0.021342091
1.910020,1.009415682,-0.000107723,0.021341596
1.920020,1.012580228,-0.000108199,0.021341123
1.930020,1.015714957,-0.000108666,0.021340665
1.940020,1.018820111,-0.000109125,0.021340217
1.950020,1.021895932,-0.000109576,0.021339776
1.960020,1.024942662,-0.000110018,0.021339341
1.970020,1.027960536,-0.000110452,0.021338911
1.980020,1.030949791,-0.000110878,0.021338485
1.990020,1.033910661,-0.000111297,0.021338062
2.000020,1.036843377,-0.000111708,0.021337643
2.010020,1.039748170,-0.000112111,0.021337228
2.020020,1.042625268,-0.000112507,0.021336816
2.030020,1.045474897,-0.000112896,0.021336407
2.040020,1.048297281,-0.000113278,0.021336002
2.050020,1.051092643,-0.000113653,0.021335600
2.060020,1.053861204,-0.000114021,0.021335202
2.070020,1.056603183,-0.000114382,0.021334807
2.080020,1.059318797,-0.000114737,0.021334415
2.090020,1.062008261,-0.000115085,0.021334026
2.100020,1.064671789,-0.000115427,0.021333641
2.110020,1.067309593,-0.000115763,0.021333258
2.120020,1.069921883,-0.000116092,0.021332879
2.130020,1.072508868,-0.000116416,0.021332503
2.140020,1.075070754,-0.000116734,0.021332130
2.150020,1.077607746,-0.000117046,0.021331760
2.160020,1.080120048,-0.000117352,0.021331393
2.170020,1.082607862,-0.000117653,0.021331029
2.180020,1.085071387,-0.000117948,0.021330668
2.190020,1.087510823,-0.000118238,0.021330310
2.200020,1.089926365,-0.000118522,0.021329955
2.210020,1.092318210,-0.000118801,0.021329603
2.220020,1.094686551,-0.000119076,0.021329254
2.230020,1.097031580,-0.000119345,0.021328907
2.240020,1.099353487,-0.000119609,0.021328564
2.250020,1.101652461,-0.000119869,0.021328223
2.260020,1.103928691,-0.000120124,0.021327885
2.270020,1.106182361,-0.000120374,0.021327550
2.280020,1.108413657,-0.000120619,0.021327218
2.290020,1.110622760,-0.000120861,0.021326888
2.300020,1.112809853,-0.000121097,0.021326561
2.310020,1.114975116,-0.000121330,0.021326237
2.320020,1.117118726,-0.000121558,0.021325915
2.330020,1.119240861,-0.000121782,0.021325596
2.340020,1.121341696,-0.000122002,0.021325280
2.350020,1.123421406,-0.000122218,0.021324966
2.360020,1.125480163,-0.000122430,0.021324655
2.370020,1.127518139,-0.000122638,0.021324347
2.380020,1.129535503,-0.000122842,0.021324040
2.390020,1.131532424,-0.000123043,0.021323737
2.400020,1.133509069,-0.000123240,0.021323436
2.410020,1.135465603,-0.000123433,0.021323137
2.420020,1.137402192,-0.000123623,0.021322841
2.430020,1.139318999,-0.000123809,0.021322547
2.440020,1.141216185,-0.000123992,0.021322256
2.450020,1.143093910,-0.000124172,0.021321967
2.460020,1.144952334,-0.000124348,0.021321681
2.470020,1.146791615,-0.000124522,0.021321397
2.480020,1.148611908,-0.000124692,0.021321115
2.490020,1.150413371,-0.000124859,0.021320835
2.500020,1.152196156,-0.000125022,0.021320558
2.510020,1.153960416,-0.000125183,0.021320283
2.520020,1.155706303,-0.000125341,0.021320010
2.530020,1.157433967,-0.000125496,0.021319740
2.540020,1.159143557,-0.000125649,0.021319472
2.550020,1.160835221,-0.000125798,0.021319206
2.560020,1.162509106,-0.000125945,0.021318942
2.570020,1.164165357,-0.000126089,0.021318680
2.580020,1.165804119,-0.000126230,0.021318421
2.590000,1.167422308,-0.000126369,0.021318164
2.600000,1.169026553,-0.000126505,0.021317908
2.610000,1.170613734,-0.000126639,0.021317655
2.620000,1.172183990,-0.000126770,0.021317404
2.630000,1.173737461,-0.000126899,0.021317155
2.640000,1.175274283,-0.000127026,0.021316908
2.650000,1.176794592,-0.000127150,0.021316663
2.660000,1.178298525,-0.000127272,0.021316420
2.670000,1.179786214,-0.000127392,0.021316179
2.680000,1.181257794,-0.000127510,0.021315940
2.690000,1.182713395,-0.000127625,0.021315703
2.700000,1.184153148,-0.000127739,0.021315468
2.710000,1.185577184,-0.000127850,0.021315235
2.720000,1.186985631,-0.000127959,0.021315004
2.730000,1.188378616,-0.000128067,0.021314774
2.740000,1.189756266,-0.000128172,0.021314547
