t,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
2.382946014404296875e-01,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.463731765747070312e-01,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.548875808715820312e-01,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.632894515991210938e-01,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,-9.681128728859451687e-06,2.099495936951541621e-06,-5.245774940206645490e-10,-5.914779205849833923e-14,4.091183671950820454e-13,-1.853355439607197498e-05,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,-1.920000067912042141e-05,1.798347142312195501e-07,-3.490908966341521591e-07,1.692561966137873242e-07,6.664462830485717859e-07,0.000000000000000000e+00
2.720799446105957031e-01,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,-2.962105823155495039e-05,6.426612255153925051e-06,5.678230371137855939e-10,4.718699637934137410e-09,5.185612735047163696e-10,-5.674989051840325537e-05,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,-5.875200076843611896e-05,5.558494535762292799e-07,-1.073137923413014505e-06,5.125413622408814263e-07,2.002110250032274053e-06,0.000000000000000000e+00
2.799296379089355469e-01,-1.000003206867166317e-01,-5.000001617743204951e-01,3.000001472795442714e-01,5.252101020741351578e-07,2.221441460341464946e+00,2.221440091023129337e+00,-6.044024782183233439e-05,1.312089925399534054e-05,-4.456346435973418765e-11,4.423046347002148586e-09,4.873746944667981061e-10,-1.159286630354470945e-04,-1.461602512990133107e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,-1.199001635541208088e-04,1.138159632319002412e-06,-2.199782556999707595e-06,1.057173108165443409e-06,3.971500518673565239e-06,0.000000000000000000e+00
2.882461547851562500e-01,-1.000007975239836366e-01,-5.000000664063558586e-01,3.000001472795442714e-01,1.584435535124798521e-06,2.221440983461627550e+00,2.221439614122423745e+00,-1.028228756644285538e-04,2.232694112483087765e-05,5.424025339858444434e-10,5.858878436701214487e-09,6.464723712817271669e-10,-1.973032967725885914e-04,-1.461603466664449513e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,-2.039900136878713965e-04,1.941313030329183675e-06,-3.749493771465495229e-06,1.802286305974121206e-06,6.686716915282886475e-06,0.000000000000000000e+00
2.996578216552734375e-01,-1.000012758641989352e-01,-4.999999573275704101e-01,3.000001363538995491e-01,2.629290293184769026e-06,2.221440631806929300e+00,2.221438999231642342e+00,-1.574804472782396364e-04,3.422148330793928645e-05,1.062562847424246197e-09,1.013911555884783181e-08,1.118910206448490652e-09,-3.025535133929230648e-04,-1.461604420338765919e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020775079727172852e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,-3.124788054265081882e-04,2.994410806422820315e-06,-5.783053893537726253e-06,2.778442421913496219e-06,9.925292033585719764e-06,0.000000000000000000e+00
3.084893226623535156e-01,-1.000032465160684697e-01,-4.999993994303346678e-01,3.000000374132487102e-01,6.394450509574845979e-06,2.221438462377558931e+00,2.221437882786517104e+00,-3.869251045982820074e-04,8.408571934644913919e-05,2.637847986430834239e-09,2.504092431369515267e-08,2.751513340509139731e-09,-7.434070339513666401e-04,-1.461608235036031544e+00,-2.043482128773824513e+00,-2.118885342274801076e+00,1.020775079727172852e+00,-1.679990593587056935e+00,-3.141593043004171193e+00,-7.677585817873477936e-04,7.359513801930006593e-06,-1.421325669070938602e-05,6.828551249782321975e-06,2.435154783597681671e-05,0.000000000000000000e+00
3.167121410369873047e-01,-1.000046770254155587e-01,-4.999991133167050461e-01,3.000000374132487102e-01,9.572253866007840101e-06,2.221437031842227849e+00,2.221436452239694770e+00,-3.328037653025585807e-04,7.236250858381238925e-05,4.101385680918391159e-09,1.711407847075273365e-08,1.881478053589709706e-09,-6.399273734132265423e-04,-1.461611096058980763e+00,-2.043482128773824513e+00,-2.118885342274801076e+00,1.020775079727172852e+00,-1.679990593587056935e+00,-3.141593043004171193e+00,-6.604413501918315887e-04,6.363470220094313845e-06,-1.228213659487664700e-05,5.901449185330420732e-06,2.051397677860222757e-05,0.000000000000000000e+00
